arch,model_size,num_params,N,seed,train_loss_final,val_loss_best,test_loss_final,total_tokens,total_data_bits,total_code_bits,total_mem_bits,bpp,W_rec_fro_norm,steps
ESN,S,181184,65536,0,7.582221627235413,7.643625090789795,7.668044295501709,4194304,46137344.0,45880793.27439414,256550.72560586035,1.4159678868214651,17.179824829101562,100000
ESN,S,181184,65536,0,7.582186251878738,7.643627320098877,7.66797088470459,4194304,46137344.0,45880579.21451745,256764.78548254818,1.4171493370416162,17.179824829101562,100000
ESN,S,181184,131072,0,7.604799643158913,7.640193727874756,7.644419365692139,8388608,92274688.0,92034830.28447945,239857.71552054584,1.3238349717444466,17.179824829101562,100000
ESN,S,181184,131072,0,7.604795157909393,7.640189045715332,7.644453285980225,8388608,92274688.0,92034776.00307854,239911.9969214648,1.324134564428784,17.179824829101562,100000
ESN,S,181184,262144,0,7.615465998649597,7.636169591522217,7.63343363571167,16777216,184549376.0,184327833.3712423,221542.62875768542,1.2227494081027321,17.179824829101562,100000
ESN,S,181184,262144,0,7.615468963980675,7.63616759262085,7.633405495452881,16777216,184549376.0,184327905.1453206,221470.8546794057,1.2223532689387897,17.179824829101562,100000
ESN,S,181184,524288,0,7.620477966964245,7.632624095916748,7.628730883026123,33554432,369098752.0,368898290.1776173,200461.82238268852,1.1063991433166753,17.179824829101562,100000
ESN,S,181184,524288,0,7.620477605611086,7.63262534866333,7.628738577270508,33554432,369098752.0,368898272.6849399,200479.3150600791,1.106495689796445,17.179824829101562,100000
ESN,S,181184,1048576,0,7.622861377894878,7.629195091247559,7.626432480621338,67108864,738197504.0,738027336.5416348,170167.45836520195,0.9391969399351043,17.179824829101562,100000
ESN,S,181184,1048576,0,7.622862681746483,7.629193769836426,7.626438674163818,67108864,738197504.0,738027462.7774508,170041.22254920006,0.9385002127627167,17.179824829101562,100000
ESN,S,181184,2097152,0,7.623981378041208,7.625930857086182,7.625473455047607,134217728,1476395008.0,1476271544.5922592,123463.40774083138,0.681425554910099,17.179824829101562,100000
ESN,S,181184,2097152,0,7.623980239033699,7.625930649566651,7.625463555908203,134217728,1476395008.0,1476271324.0402548,123683.95974516869,0.6826428368132323,17.179824829101562,100000
